id,"public_id","title_en","title_cy","description_en","description_cy",parent_id,"created_at","updated_at",ordinal,"image","title_tag_en","title_tag_cy","preview_image",navigation
398,"child-benefit","Child Benefit","Budd-dal Plant","Find out how Child Benefit works and how much you might be entitled to claim.","Dysgwch sut mae Budd-dal plant yn gweithio a faint y gallech ei hawlio.",397,"2014-04-28 16:43:49","2014-05-07 13:58:33",1,"","","","",1
399,"benefits-at-work","Benefits at work","Budd-daliadau yn y gwaith","Learn about employee benefits, salary sacrifice schemes and benefits and tax credits you can claim after job loss.","Dysgwch am fudd-daliadau cyflogeion, cynlluniau aberthu cyflog a budd-daliadau a chredydau treth y gallwch eu hawlio ar ôl colli eich swydd.",397,"2014-04-28 16:43:49","2014-05-07 14:00:10",3,"","","","",1
400,"help-with-insurance","Help with insurance","Cymorth gydag yswiriant","Understand what insurance is and how it works. Find out how to buy insurance and how to go about making a claim.","Deall beth yw yswiriant a sut mae'n gweithio. Dysgwch sut i brynu yswiriant a sut mae mynd ati i wneud hawliad.",293,"2014-05-01 16:53:08","2014-09-23 09:52:16",5,"","","","",1
401,"life-and-protection-insurance","Life and protection insurance","Yswiriant oes a diogelu","Learn about the differences between life, critical illness and income protection insurance.","Dysgwch am y gwahaniaethau rhwng yswiriant oes, salwch critigol a diogelu incwm.",293,"2014-05-01 16:53:08","2014-09-23 09:52:16",2,"","","","",1
402,"care-and-disability","Care and disability","Gofal ac anabledd","Choosing the right care services, support for carers and paying for the cost of care","Dewis y gwasanaethau gofal cywir, cymorth i ofalwyr a thalu am gost gofal",NULL,"2014-05-01 16:53:25","2014-07-21 13:36:12",9,"","","","",1
403,"care-advice-and-help","Care advice and help","Cyngor a chymorth ynghylch gofal","Help with choosing the right care services, setting up a power of attorney, and dealing with problems.","Cymorth gyda dewis y gwasanaethau gofal cywir, sefydlu atwrneiaeth, ac ymdrin ag unrhyw broblemau.",402,"2014-05-01 16:53:25","2014-09-23 09:53:57",3,"","","","",1
404,"paying-for-care","Paying for care","Talu am ofal","Learn about NHS and self-funding options, managing direct payments, and other ways to pay for your care.","Dysgwch am opsiynau GIG a hunan-ariannu, rheoli taliadau uniongyrchol, a ffyrdd eraill i dalu am eich gofal.",402,"2014-05-01 16:53:25","2014-09-23 09:53:57",4,"","","","",1
405,"support-for-carers","Support for carers","Cymorth i ofalwyr","Find out about support available to carers and how to manage the money of someone you're caring for.","Dysgwch am gymorth sydd ar gael i ofalwyr a sut i reoli arian rhywun yr ydych yn gofalu amdanynt.",402,"2014-05-01 16:53:25","2014-09-23 09:53:57",1,"","","","",1
406,"illness-and-disability","Illness and disability","Pobl anabl","Advice about Personal Independence Payment, disability grants, aids and equipment.","Cymorth ynghylch Taliad Annibyniaeth Bersonol, grantiau anabledd, cymhorthion a chyfarpar.",402,"2014-05-01 16:53:25","2014-09-23 09:53:57",2,"","","","",1
407,"how-to-save-money","How to save money","Sut i gynilo arian","Work out how much you can afford to save and find out how to set and reach your savings goal.","Cyfrifwch faint allwch fforddio ei gynilo a dysgwch sut i sefydlu a chyrraedd eich nod cynilo.",247,"2014-05-08 18:05:56","2014-05-13 08:48:59",15,"","","","",1
408,"savings-types","Types of savings","Mathau o gynilo","Learn about savings accounts, cash ISAs, and how to save for children.","Dysgwch am gyfrifon cynilo, ISAs arian parod a sut i gynilo ar gyfer plant.",247,"2014-05-08 18:05:56","2014-05-08 18:05:56",16,NULL,"","",NULL,1
409,"how-to-invest-money","How to invest money","Sut i fuddsoddi arian","Learn about investing basics, how to make an investment plan, and understanding your attitude to risk.","Dysgwch am hanfodion buddsoddi, sut i lunio cynllun buddsoddi, a deall eich agwedd tuag at risg.",247,"2014-05-08 18:05:57","2014-05-08 18:05:57",17,NULL,"","",NULL,1
410,"investment-types","Types of investment","Mathau o fuddsoddiad","Information about stocks and shares, investment bonds, tracker funds, with-profits and endowment policies.","Gwybodaeth am stociau a chyfranddaliadau, bondiau buddsoddi, cronfeydd tracio, polisïau gydag-elw a gwaddol.",247,"2014-05-08 18:05:57","2014-05-08 18:05:57",18,NULL,"","",NULL,1
411,"buying-a-home","Buying a home","Prynu cartref","Work out your overall buying and moving costs, first time buyer advice, and tips and tools to help you work out what you can afford.","Cyfrifwch eich costau prynu a symud cyffredinol, cyngor i brynwyr tro cyntaf, ac awgrymiadau ac offer i'ch helpu chi i gyfrifo beth allwch ei fforddio.",281,"2014-05-14 15:57:58","2014-09-23 09:52:46",1,"","","","",1
412,"help-with-mortgages","Help with mortgages","Cymorth gyda morgeisi","Get started with our beginner's guide to mortgages, getting the right deal, and tips if you're struggling to pay.","Dechreuwch arno gyda'n canllaw dechreuwyr i forgeisi, cael y fargen gywir, ac awgrymiadau os ydych yn profi anawsterau wrth dalu.",281,"2014-05-14 15:57:58","2014-09-23 09:52:46",4,"","","","",1
413,"types-of-mortgage","Types of mortgage","Mathau o forgeisi","Learn about different kinds of mortgages, from repayment and interest-only to shared equity and buy-to-let.","Dysgwch am wahanol fathau o forgeisi, o ad-daliad a llog yn unig i ecwiti a rennir a phrynu-i-osod.",281,"2014-05-14 15:57:58","2014-09-23 09:52:46",3,"","","","",1
414,"renting-and-letting","Renting and letting","Rhentu a gosod","Advice to help you work out how much rent you can afford, and how to budget and share costs when renting.","Cyngor i'ch helpu i gyfrifo faint o rent y gallwch chi fforddio, a sut i gyllidebu a rhannu costau wrth rentu.",281,"2014-05-14 15:57:59","2014-09-23 09:52:46",2,"","","","",1
415,"debt-and-borrowing","Debt and borrowing","Dyled a benthyca","Taking control of debt, getting free debt advice, and how to borrow affordably","Cymryd rheolaeth dros ddyled, cael cyngor am ddim ar ddyledion, a sut i fenthyca'n fforddadwy",NULL,"2014-05-20 14:25:46","2014-07-21 13:37:30",1,"","","","",1
416,"before-you-borrow","Before you borrow","Cyn i chi fenthyca arian","Find out if you need to borrow money and whether you can afford it. Learn how to work out the true cost of borrowing.","Dysgwch a oes arnoch angen benthyca arian ac a allwch ei fforddio. Dysgwch sut i gyfrifo gwir gost benthyca.",415,"2014-05-20 14:25:47","2014-05-21 13:48:26",0,"","","","",1
